"control_num","region","hypo_level","sensitivity","specificity","ppv","npv"
"15","roiAD","8",99.6,46.8921294859861,4.62481426448737,99.9779492833517
"15","w214","1",77.7996070726916,47.8214665249734,7.46324915190351,97.5504010405376
"15","w214","4",91.7485265225933,47.4920297555792,8.6353550295858,99.0689425847927
"15","w214","8",97.6424361493124,47.3219978746015,9.11257792445911,99.7312430011198
"15","w271","1",85.2777777777778,48.831394716817,11.5391843638414,97.6946498477599
"15","w271","4",94.8611111111111,48.3313403630829,12.5643855776306,99.1746598260094
"15","w271","8",98.1944444444444,48.1465376671377,12.9085265656381,99.7073390364701
"15","w32","1",100,46.7460397538089,0.151343170639425,100
"15","w32","4",100,46.7157703561699,0.151257326526754,100
"15","w32","8",100,46.6350519624659,0.151028884274117,100
"16","roiAD","1",91.0798122065728,47.960024726973,3.69876072449952,99.5934959349593
